WID,EAN,Manufacturing_Date,Expiry_Date
WH-0011-A,8901234567890,2024-03-15,2025-03-14
WH-0011-B,8901234567890,2024-04-01,2025-03-31
WH-0021-A,7501055362083,2024-01-10,2026-01-09
WH-0031-X,8888888888001,2023-12-01,2024-11-30
WH-0041-Z,9876543210123,2024-06-01,2027-05-31
WH-0051-A,1234567890123,2024-02-14,2025-02-13
WH-0061-B,2345678901234,2024-05-20,2026-05-19
WH-0071-C,3456789012345,2024-07-01,2025-12-31
WH-0081-D,4567890123456,2024-08-15,2027-08-14
WH-0091-E,5678901234567,2024-09-01,2025-01-01
WH-0101-F,6789012345678,2024-10-10,2026-10-09
